Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a_129_d;16;3.4;2.4;3160;933;460;0.79;420;0;0;;-70000,130000;2;4700,6150,8100;0;0;28.6,-28,22.6,-21
a_129_int;16;3.4;2.4;3100;933;460;0.79;420;0;0;;-70000,130000;2;4700,6850,8900;0;0;28.6,-28,22.6,-21
a_29_hudson;13.51;19.96;51.18;5985;1754;564;0.65;235;20;33;0.1,340,1,235;-198000,396000;2;300,2500,2900;0;0;17,-13,16.5,-12
a_35b;12.1158;14.63;30.8438;5322;780;702;0.69;278;20;33;0.1,430,0.33,290,1,278;-180290,451100;1;750,2600,3100;0;0;16.2,-14,14.3,-8
a_4b;11.9967;8.382;24.1548;4439;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-152500,291900;1;3600,8300,8800;0;0;23,-22.5,21,-23
a_4e_early;11.9967;8.382;24.1548;4574;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-102500,291900;1;4600,11650,11952;0;0;23,-22.5,21,-23
a_4e_early_iaf;12.59;8.382;24.1548;4919;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-102500,291900;1;4600,11650,11952;0;0;23,-22.5,21,-23
a_4e_late_iaf;12.59;8.382;24.1548;4944;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-102500,291900;1;4600,12060,12410;0;0;23,-22.5,21,-23
a_4h;11.9967;8.382;24.1548;4644;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-102500,291900;1;4600,12060,12410;0;0;23,-22.5,21,-23
a_4n;12.59;8.382;24.1548;4950;2467.5;1167;1.281;437;20;33;0.1,615,1,410;-102500,291900;1;4600,12010,12400;0;0;23,-22.5,21,-23
a_5c;15.415;9.68;27.95;6609;2827;1260;1.65;577;0;33;0.2,700,0.33,500,1,450;-215000,435000;2;4100,11195,11600;0;0;22,-21,16,-17
a_6e_tram;16.688;16.1544;49.136;12455;7229;1322;1.07;460;0;70;0.1,650,1,460;-330000,940000;2;4600,12060,12410;0;0;23,-21,22.5,-19
a_7d;14.06;11.8049;34.84;9006;4201;1254;1.124;407;20;33;0.1,505,0.33,457,1,407;-291000,670600;1;6896,12770,13408;0;0;23.5,-22.5,22,-21
a_7e;14.06;11.8049;34.84;9011;4552;1254;1.124;407;20;33;0.1,505,0.33,457,1,407;-291000,670600;1;6896,12770,13408;0;0;23.5,-22.5,22,-21
a_7k;14.06;11.8049;34.84;9011;4552;1254;1.124;407;20;33;0.1,505,0.33,457,1,407;-291000,670600;1;6896,12770,13408;0;0;23.5,-22.5,22,-21
ab_205a_1;12.98;3.2;0.06;2200;833;300;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah-64d;16;4.9;4.8;5320;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_1f;17.51;3.2;1.8;2970;833;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1f_iaf;17.51;3.2;1.8;2970;833;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1g;17.51;3.2;1.8;2780;707;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1g_iaf;17.51;3.2;1.8;2780;707;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1q_iaf;17.51;3.2;1.8;2780;707;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1s;17.51;3.2;1.8;2970;833;400;0.79;420;0;0;;-100000,250000;1;3000,6600,10000;0;0;28.6,-28,22.6,-21
ah_1w;16;4;4.2;4898;879;400;0.8;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,22.6,-21
ah_1z;16;4;4.2;5580;1216;450;0.8;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,22.6,-21
ah_2_rooivalk;16.3;6.3;5.4;5910;1440;410;0.79;420;0;0;;-80000,180000;2;12500,23000,29000;0;0;28.6,-28,29.6,-28
ah_60_iaf;16;5.8;3;5690;1110;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_64a;16;4.9;4.8;5060;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_64a_iaf;16;4.9;4.8;5060;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_64d;16;4.9;4.8;5320;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_64d_i_saraph;16;4.9;4.8;5320;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_64d_japan;16;4.9;4.8;5320;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ah_6m;17.5;4;0.6;790;180;300;0.6;320;0;0;;-40000,83000;1;2000,6000,8200;0;0;28.6,-28,22.6,-21
ah_mk1;16;4.9;4.8;5460;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
ahs;16;4.9;4.8;5060;1100;450;0.79;420;0;0;;-70000,130000;2;12500,20900,30000;0;0;28.6,-28,29.6,-28
aichi_e13a;11.49;14.5;36;2297;1010;450;0.83;550;20;33;0.1,520.4,1,320.4;-127138,171757;1;100,2550,2650;0;0;17,-14.5,16.5,-13
alpha_jet_a;12.465;9.114;17.5;3720;2087;1127;1.05;390;0;33;0.2,580,1,390;-145000,305000;2;11960,22561,23700;0;0;21,-20,19,-21
alpha_jet_e;12.465;9.114;17.5;3725;2087;1127;1.05;390;0;33;0.2,580,1,390;-145000,305000;2;11960,22561,23700;0;0;21,-20,19,-21
am-1_mauler;12.75;15.26;46.0852;6910;1388;805;0.8;700;20;33;0.2,420,0.33,350,1,300;-255476,510952;1;1200,2700,3060;92;0.0625;18.5,-10,16.5,-18.5
amx_a_1a_brazil;13.23;8.87;23;6700;3570;1180;1.05;447;20;33;0.2,850,1,500;-285000,575000;1;5000,12900,15000;0;0;21,-20,21.5,-19
amx_italy;13.23;8.87;23;6700;3570;1180;1.05;447;20;33;0.2,850,1,500;-285000,575000;1;5000,12900,15000;0;0;21,-20,21.5,-19
ar_2;12.78;18;48.21;5270;950;650;0.75;350;20;33;0.1,320,1,280;-152055,273699;2;900,2700,2800;0;0;17,-12,15,-19
arado-196a-3;10.98;12.44;28.5;2631;288;570;0.6;550;20;33;0.1,520.4,1,320.4;-127138,151757;1;500,2550,2950;0;0;17,-14.5,16.5,-13
arado-234;12.65;14.41;26.8;3735;3000;1000;0.82;400;20;33;0.1,550,1,350;-132931,290000;2;2700,8700,9000;0;0;18,-16,14,-12
arado-234_hockey;12.65;14.41;26.8;3735;3000;1000;0.82;400;20;33;0.1,550,1,350;-132931,290000;2;2700,8700,9000;0;0;18,-16,14,-12
arado-234c-3;12.65;14.41;26.8;6700;3100;1000;0.82;400;20;33;0.1,550,1,350;-182931,400000;4;3000,9800,11000;0;0;18,-16,14,-12
ariete;9.6;7.5;14.73;2439;936;1125;1.21;450;20;33;0.1,520.4,1,320.4;-80500,198500;2;8000,14700,15500;0;0;21,-21,20,-17
attaker_fb1;11.58;11.277;20.88;4400;1038;985;0.84;351;20;33;0.1,1000,1,987;-170000,295000;1;5000,12500,16000;0;0;16.1,-14,14.5,-17
av_8a;14.3;7.7;18.6;5570;2335;1191;1.25;648;0;33;0.2,973,0.32,833,1,556;-220000,560000;1;4900,7510,10000;223;2.4;21,-21,21,-20
av_8b_na;14.12;9.25;21.6;5705;3520;1137;1.1;648;0;33;0.2,973,0.32,833,1,556;-220000,560000;1;4900,7510,10000;227;2.4;23,-21,23,-21
av_8b_plus;14.12;9.25;21.6;6327;3520;1137;1.1;648;0;33;0.2,973,0.32,833,1,556;-220000,560000;1;4900,7510,10000;227;2.4;23,-21,23,-21
av_8c;14.3;7.7;18.6;5570;2335;1191;1.25;648;0;33;0.2,973,0.32,833,1,556;-220000,560000;1;4900,7510,10000;223;2.4;21,-21,21,-20
avenger_mk1;12.23;16.505;45.52;5272;906;612;0.63;397;0;0;0.1,485,1,285;-86700,199500;1;800,2600,3100;0;0;16.5,-11,17,-13
b-17e;22.496;31.632;131.918;15906;4714;516;0.63;290;20;33;0.1,400,1,249;-196037,305365;4;600,2500,2900;0;0;16.2,-14,14.3,-8
b-17e_late;22.496;31.632;131.918;15996;4714;516;0.63;290;20;33;0.1,400,1,249;-196037,305365;4;600,2500,2900;0;0;16.2,-14,14.3,-8
b-17g;22.781;31.632;131.918;16855;7576;516;0.63;290;20;33;0.1,400,1,249;-196037,305365;4;600,2501,3100;0;0;16.2,-14,14.3,-8
b-29;30.175;43.047;161.46;32867;17958;609;0.64;389;20;33;0.1,340,1,270;-532000,1.064e+06;4;550,2801,3150;0;0;14.2,-12,13,-13
b-57;19.96;19.51;88.8;11200;6616;990;0.85;450;0;0;0.1,520.4,1,320.4;-309812,679812;2;5000,8300,9000;0;0;15,-13.35,12,-22
b-57b;19.96;19.51;88.8;13350;6640;990;0.85;450;0;0;0.1,520.4,1,320.4;-309812,729812;2;5000,8300,9000;0;0;15,-13.35,12,-22
b5n2;11.3;15.518;39.69;2148;788;555;0.5;450;20;33;0.1,420.4,1,280.4;-68000,180810;1;100,2550,3000;0;0;19,-14,16,-15
b6n1;10.865;14.894;32.8;3034;1155;650;0.7;310;20;33;0.1,380,1,280.4;-71540,229165;1;450,2600,2850;85;0.1255;17,-14,16,-15
b6n2;10.865;14.894;32.8;3034;1155;650;0.7;310;20;33;0.1,380,1,280.4;-71540,229165;1;450,2600,2850;85;0.1255;17,-14,16,-15
b6n2a;10.865;14.894;32.8;3034;1155;650;0.7;310;20;33;0.1,380,1,280.4;-71540,229165;1;450,2600,2850;85;0.1255;17,-14,16,-15
b7a2;11.49;14.4;31.8;3936.76;1600;680;0.75;350;20;33;0.1,480,1,280;-430414,430414;1;450,2900,3200;0;0;16.7,-14,15.8,-13.8
b7a2_homare_23;11.49;14.4;31.8;3936.76;1600;680;0.75;350;20;33;0.1,480,1,280;-430414,430414;1;400,3000,3493.27;126;0.06;16.7,-14,15.8,-13.8
b_10b;13.63;21.5;63;4931;1214;564;0.65;235;20;33;0.1,340,1,235;-110000,220500;2;400,2200,2450;0;0;15,-13,14.5,-12
b_18a;17.63;27.9;89.094;7490.69;1663.54;580;0.65;350;20;33;0.1,340,1,280;-210000,485000;2;300,2200,3700;0;0;17,-13,16.5,-12
b_239_finland;7.938;10.668;18.6;1762;430;761;0.75;280;20;33;0.1,460,0.5,320,1,240;-73575,165544;1;500,2200,2520;0;0;17,-12,14,-14
b_24d;20.4724;33.528;97.359;15569;7506;600;0.62;263;0;33;0.1,390,1,263;-246800,494500;4;600,2700,2950;0;0;11,-12.5,11.5,-13
b_25j_20;16.307;20.604;56.67;10205;2654;591;0.65;294;20;33;0.1,430,0.33,320,1,294;-177470,325660;2;600,2600,2880;0;0;14.25,-13.2,13.5,-15
b_26b_c;17.73;21.64;61.19;9687;2731;568;0.75;265;20;33;0.1,430,0.33,320,1,297;-177470,496125;2;600,2700,2880;0;0;14,-13,12,-10
b_34;16.9;19.96;51;8550;1548;633;0.66;235;20;33;0.1,340,1,235;-200000,360000;2;600,2700,3100;0;0;18,-13,17,-12
b_48_firecrest;11.976;13.7;32.58;5277;1003;750;0.76;360;20;33;0.2,430,1,272;-145000,345000;1;600,2701,3120;46;0.068;17.3,-10,15.8,-15
ba_65_k14_l;9.53;12;23.3748;2305;508;590;0.65;400;20;33;0.1,520,1,250;-86745,181375;1;600,2400,3000;0;0;16.5,-12,16,-15
bb-1;10.25;14.3;28.98;2971;560;620;0.8;350;20;33;0.1,450,0.3,340;-80861,161723;1;450,2375,2800;0;0;18,-11,16,-18
be_6;23;33;120;17600;7446;500;0.65;450;20;33;0.1,300,1,220;-411000,568400;2;550,2600,2800;0;0;17.5,-12,16,-19
beaufighter_mk1_40mm;12.7;17.63;46.7;7113;1972.46;676;0.75;242;20;33;0.1,440,0.33,242,1,216;-193672,364560;2;400,2800,3150;0;0;16,-14,18,-15
beaufighter_mk21;12.7;17.63;46.7;7250;1780;676;0.75;242;20;33;0.1,440,0.33,242,1,216;-193672,364560;2;400,2900,3150;0;0;16,-14,18,-15
beaufighter_mk6c;12.7;17.63;46.7;7113;1780;676;0.75;242;20;33;0.1,440,0.33,242,1,216;-193672,364560;2;400,2900,3150;0;0;16,-14,18,-15
beaufighter_mkx;12.7;17.63;46.7;7900;1780;676;0.75;242;20;33;0.1,440,0.33,242,1,216;-193672,364560;2;400,2900,3150;0;0;16,-14,18,-15
beaufort_mkviii;13.462;17.6275;47.195;6524.4;1865;523;0.62;242;20;33;0.1,440,1,216;-142500,345500;2;550,2700,3060;0;0;15,-14.2,14.4,-14
bf-109a_1;8.738;9.867;16.2;1900;177;790;0.82;280;20;33;0.1,400,0.5,350,1,250;-66000,123970;1;400,2700,2850;0;0;18.2,-14,15.1,-17
bf-109b_2;8.738;9.867;16.2;1646;177;790;0.82;280;20;33;0.1,400,0.5,350,1,250;-66000,123970;1;400,2700,2850;0;0;18.2,-14,15.1,-17
bf-109c_1;8.738;9.867;16.2;1851;177;790;0.82;280;20;33;0.1,400,0.5,350,1,250;-66000,123970;1;445,2700,2800;0;0;18.2,-14,15.1,-17
bf-109e-1;8.738;9.867;16.2;2150;303;790;0.82;320;20;33;0.1,500,1,300;-66000,148000;1;450,2400,3000;0;0;18.2,-14,15.1,-14
bf-109e-4;8.738;9.867;16.2;2118.2;303;790;0.82;320;20;33;0.1,500,0.5,450,0.7,390,1,280;-66000,148000;1;400,2600,2950;0;0;18.2,-14,15.1,-17
bf-109f-1;9.16;9.86;16.2;2287;300;790;0.82;360;20;33;0.1,460,1,260;-85000,175100;1;400,2600,2950;0;0;17.2,-14,15.1,-17
bf-109f-4;9.16;9.86;16.2;2457;296;790;0.82;360;20;33;0.1,460,1,260;-85000,175100;1;400,2700,3000;0;0;17.2,-14,15.1,-17
bf-109f-4_trop;9.16;9.86;16.2;2457;296;790;0.82;360;20;33;0.1,460,1,260;-85000,175000;1;400,2700,3000;0;0;17.2,-14,15.1,-17
bf-109g-10;9.16;9.86;16.2;2720;296;790;0.82;360;20;33;0.1,460,1,260;-100000,200000;1;500,2800,3200;63;0.05;17.2,-14,15.1,-17
bf-109g-14;9.16;9.86;16.2;2760;296;790;0.82;360;20;33;0.1,460,1,260;-100000,200000;1;500,2800,3200;63;0.05;17.5,-14,15.1,-17
bf-109g-14as;9.16;9.86;16.2;2790;296;790;0.82;360;20;33;0.1,460,1,260;-100000,200000;1;500,2800,3200;63;0.05;17.5,-14,15.1,-17
bf-109g-2;9.16;9.86;16.2;2570;296;790;0.82;360;20;33;0.1,460,1,260;-90000,190000;1;500,2800,3150;0;0;17.2,-14,15.1,-17
bf-109g-2_romania;9.16;9.86;16.2;2570;296;790;0.82;360;20;33;0.1,460,1,260;-90000,190000;1;500,2800,3150;0;0;17.2,-14,15.1,-17
bf-109g-6;9.16;9.86;16.2;2730;296;790;0.82;360;20;33;0.1,460,1,260;-100000,200000;1;500,2800,3200;63;0.05;17.2,-14,15.1,-17
bf-109k-4;9.16;9.86;16.2;2840;296;790;0.82;360;20;33;0.1,460,1,260;-110000,210000;1;500,2800,3200;63;0.05;18.5,-14,16,-17
bf-109z;9.048;13.27;23.14;5110;825;790;0.82;360;20;33;0.1,460,1,260;-180000,290000;2;500,2800,3150;0;0;18,-14,15.1,-17
bf-110c-4;12.07;16.276;32.8;5191;953;715;0.72;320;20;33;0.1,490,1,290;-180000,459550;2;450,2400,3000;0;0;18.2,-14,16.1,-17
bf-110c-6;12.65;16.276;31.678;5361;965;715;0.85;320;20;33;0.1,490,1,290;-180000,459550;2;400,2600,2950;0;0;20,-14,17.1,-17
bf-110c-7;12.65;16.276;34.8;5232;965;715;0.85;320;20;33;0.1,490,1,290;-180000,459550;2;400,2600,2950;0;0;17.2,-14,16.1,-17
bf-110f-2;12.65;16.276;34.8;6227.27;965;745;0.85;320;20;33;0.1,490,1,290;-180000,459550;2;400,2700,2950;0;0;18.2,-14,17.1,-17
bf-110g-2;12.65;16.276;34.8;6466;965;745;0.85;320;20;33;0.1,490,1,290;-180000,459550;2;500,2800,3150;0;0;18.2,-14,17.1,-17
bf-110g-4;12.65;16.276;34.8;6663;965;745;0.85;320;20;33;0.1,490,1,290;-180000,459550;2;500,2800,3150;0;0;18.2,-14,17.1,-17
bf2c_1;7.14;12.76;24.32;1623;310;600;0.7;280;0;0;;-57494,114989;1;400,1960,2450;0;0;17.5,-12,17,-12
bi;6.4;6.48;7;834;705;920;0.81;420;0;0;0.1,520,1,320;-24500,73500;1;100,1600,1800;0;0;16,-13,14,-14.5
blenheim_mkiv;12.7;17.17;43.57;4631;1530;482;0.62;236;20;33;0.1,316,1,211;-142500,345500;2;600,2751,3120;0;0;15,-14.2,14.4,-14
bo_105cb2;16;4;0.6;1420;444;300;0.6;320;0;0;;-40000,83000;2;2000,6000,7200;0;0;28.6,-28,22.6,-21
bo_105pah1;16;4;0.6;1420;444;300;0.6;320;0;0;;-40000,83000;2;2000,6000,7200;0;0;28.6,-28,22.6,-21
bo_105pah1_a1;16;4;0.6;1420;444;300;0.6;320;0;0;;-40000,83000;2;2000,6000,7200;0;0;28.6,-28,22.6,-21
boomerang_mki;8.17483;10.9728;20.9;2759.08;522.539;660;0.77;320;20;33;0.1,520.4,1,225;-151230,201640;1;400,2700,3060;0;0;18,-14.7,20,-14.5
boomerang_mkii;8.17483;10.9728;20.9;2759.08;522.539;660;0.77;320;20;33;0.1,520.4,1,225;-151230,201640;1;400,2700,3060;0;0;18,-14.7,20,-14.5
boston_mk_1;14.32;18.694;43.1813;5510;886;665;0.703;296;20;33;0.1,445,1,296;-131700,263400;2;550,2700,2800;0;0;16,-15.5,14.5,-13
br_20_dr;16.175;21.56;74;6835;1720;675;0.73;310;0;33;0.1,480,1,280;-173215,247450;2;450,2200,2350;0;0;18,-16,17,-15
br_693_ab2;9.69;15.36;29.1;3141;584;591;0.65;295;20;33;0.1,430,0.33,320,1,294;-123500,185500;2;500,3030,3100;0;0;15.5,-17,14,-16
breda_88;10.75;15.6;33.3;4889;1135;712.5;0.73;262;0;33;0.1,425,1,283;-184232,286583;2;450,2200,2310;0;0;15.2,-13.5,14,-14.5
brigand_b1;14.15;22.05;66.6;11411;3462;680;0.75;342;0;33;0.1,450,1,270;-230000,611000;2;500,2700,3000;200;0.056;17,-14.5,16,-15
btd-1;11.765;13.716;36.37;6236;1307;885;0.78;253;20;33;0.1,380,1,253;-210000,330000;1;600,2800,3000;0;0;16.5,-13.5,15,-16
buccaneer_s1;16.95;12.9;47;12200;5550;1181;1;416;20;33;0.2,518,0.33,463,1,370;-520000,800000;2;4200,9200,12000;0;0;19,-14,20,-12
buccaneer_s2;16.95;12.9;47;14000;5769;1181;1;416;20;33;0.2,518,0.33,463,1,370;-520000,800000;2;5000,12900,15000;0;0;19,-14,20,-12
buccaneer_s2b;16.95;12.9;47;14320;8796;1181;1;416;20;33;0.2,518,0.33,463,1,370;-520000,800000;2;5000,12900,15000;0;0;19,-14,20,-12
bv-138c-1;19.9;26.936;111.996;12843;1850;405;0.75;450;0;33;0.1,520.4,1,320.4;-204033,354033;3;450,2800,3000;0;0;17,-13.5,16,-13.5
bv-155b-1;12.1;20.33;42.4;5440;370;730;0.82;360;20;33;0.1,460,1,260;-110000,290000;1;500,2700,2900;0;0;18.5,-14,17.5,-14
bv-238;43.35;60;360;54000;23140;546;0.65;250;20;33;0.1,420,1,250;-750000,1.5e+06;6;450,2700,2900;0;0;15,-11,14,-14
c-47;19.647;28.813;91.7;7283;2332.5;700;0.73;310;0;33;0.1,520.4,1,320.4;-173215,247450;2;350,2400,2800;0;0;16.2,-14,15.1,-17
canberra_bimk6;19.96;19.51;88.8;10300;6900;990;0.82;450;0;0;0.1,520.4,1,320.4;-409812,659812;2;5000,7800,8000;0;0;15,-13.35,11,-22
canberra_bmk2;19.96;19.51;88.8;10300;4800;990;0.82;450;0;0;0.1,520.4,1,320.4;-309812,649812;2;5000,7800,8000;0;0;15,-13.35,11,-22
caudron_cr714;8.632;8.97;12.4832;1579;157;735;0.78;240;20;33;0.1,350,0.5,280,1,240;-51502,103005;1;500,2500,2750;0;0;17.57,-17.7,16,-15
corsair_fmk2;10.26;12.13;28.6678;4437;975;885;0.82;730;20;33;0.2,470,0.33,278,1,245;-106792,300352;1;1200,2700,3060;39;0.076;18,-12,15.8,-18.5
cr_32;7.453;10.8;22.106;1441;268;590;0.7;590;0;0;;-62779,134526;1;600,2750,3200;0;0;20,-12,20,-12
cr_32_bis;7.453;10.8;22.106;1551;268;590;0.7;590;0;0;;-62779,134526;1;600,2890,3200;0;0;20,-12,20,-12
cr_32_quater;7.453;10.8;22.106;1496;268;590;0.7;590;0;0;;-62779,134526;1;600,2890,3200;0;0;20,-12,20,-12
cw_21;8.077;10.67;14.8;1520;318;735;0.78;290;20;33;0.1,380,0.5,280,1,240;-46352,92705;1;500,2200,2520;0;0;17,-12,14,-14
d3a1;10.195;14.53;34.94;2421;599.9;600;0.65;650;20;33;0.1,480,1,280;-65578,196735;1;500,2500,2800;0;0;18,-16,16.2,-15.2
d4y1;10.244;11.5;21.98;2326;790;750;0.75;350;20;33;0.1,480,1,280;-175970,234628;1;450,2500,3000;0;0;17.1,-15.2,16.773,-12.094
d4y2;10.244;11.5;21.98;2635;975;750;0.75;350;20;33;0.1,480,1,280;-175970,234628;1;400,2800,3000;0;0;17.1,-15.2,16.773,-12.094
d4y3;10.22;11.5;21.98;2249;759;750;0.75;350;20;33;0.1,480,1,280;-175970,234628;1;400,2600,3000;120;0.187447;17.1,-15.2,16.773,-12.094
d_371;7.44;11.8;17.7794;1424;313;560;0.75;560;0;0;;-54593,109185;1;600,2400,2520;0;0;17.5,-12,17,-12
d_371_hs9;7.44;11.8;17.7794;1480;313;560;0.75;560;0;0;;-54593,109185;1;600,2400,2520;0;0;17.5,-12,17,-12
d_373;7.44;11.22;17.4798;1719;313;630;0.75;630;0;0;0.1,520,1,240;-50767,118456;1;600,2400,2520;0;0;17.5,-12,17,-12
d_500;7.718;12.092;16.5;1414;210;576;0.67;577;0;0;;-68900,111500;1;450,2600,2780;0;0;17.2,-15,18.2,-15
d_501;7.718;12.092;16.5;1432;210;576;0.67;577;0;0;;-68900,111500;1;450,2600,2780;0;0;17.2,-15,18.2,-15
d_510;7.718;12.092;16.5;1417;210;576;0.67;577;0;0;;-68900,111500;1;450,2401,2590;0;0;17.2,-15,18.2,-15
d_520;8.6;10.2;15.97;2036;470.88;800;0.82;320;20;33;0.1,400,0.5,340,1,280;-110166,164150;1;450,2400,2850;0;0;18,-12,17,-19
d_520_france;8.6;10.2;15.97;2036;470.88;800;0.82;320;20;33;0.1,400,0.5,340,1,280;-110166,164150;1;450,2400,2850;0;0;18,-12,17,-19
d_521;8.6;10.2;15.97;2255;330;800;0.75;340;20;33;0.1,400,0.5,340,1,280;-110166,131173;1;400,3000,3100;0;0;16.5,-15,15,-13
